	id	arquivo	nome	ano	km	cor	cambio	portas	preco
0	0	./dados/dados_carro\Carro-100.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0.0	Laranja	manual	3.0	59.890,00
1	1	./dados/dados_carro\Carro-1004.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	41.07	Branco	manual	2.0	45.900,00
2	2	./dados/dados_carro\Carro-1005.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	48.653999999999996	Prata	manual	4.0	45.900,00
3	4	./dados/dados_carro\Carro-1008.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	19.0	Prata	manual	2.0	45.990,00
4	5	./dados/dados_carro\Carro-1009.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	24.715	Branco	manual	2.0	45.990,00
5	6	./dados/dados_carro\Carro-101.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2020 / 2020	0.0	Azul	automático		59.900,00
6	7	./dados/dados_carro\Carro-1015.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2019	2019 / 2019	39.441	Prata	manual	2.0	46.000,00
7	8	./dados/dados_carro\Carro-1016.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2019	2019 / 2019	18.86	Branco	manual	2.0	46.300,00
8	9	./dados/dados_carro\Carro-1017.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	40.856	Prata	manual	2.0	46.500,00
9	10	./dados/dados_carro\Carro-1018.html	Fiat Strada Freedom 1.4 (Flex) (Cabine Dupla) 2019	2018 / 2019	78.0	Vermelho	manual		46.500,00
10	11	./dados/dados_carro\Carro-1019.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2019 / 2019	25.15	Prata	manual	2.0	46.600,00
11	12	./dados/dados_carro\Carro-102.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2020 / 2020	0.0	Prata	automático	5.0	59.900,00
12	13	./dados/dados_carro\Carro-1020.html	Fiat Strada Hard Working 1.4 (Flex) 2018	2017 / 2018	49.0	Branco	manual	2.0	36.999,00
13	14	./dados/dados_carro\Carro-1021.html	Fiat Strada Working 1.4 (Flex) 2018	2018 / 2018	76.569	Branco	manual	2.0	39.940,00
14	15	./dados/dados_carro\Carro-1022.html	Fiat Strada Hard Working 1.4 (Flex) 2018	2017 / 2018	79.0	Branco	manual		43.500,00
15	16	./dados/dados_carro\Carro-1026.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2018	2018 / 2018	64.0	Branco	manual	2.0	43.000,00
16	17	./dados/dados_carro\Carro-1027.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2018	2017 / 2018	82.63	Branco	manual	3.0	51.900,00
17	18	./dados/dados_carro\Carro-1028.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Dupla) 2018	2018 / 2018	23.046999999999997	Preto	manual		55.900,00
18	19	./dados/dados_carro\Carro-1029.html	Fiat Strada Working 1.4 (Flex) (Cabine Estendida) 2016	2015 / 2016	51.408	Vermelho	manual	2.0	50.000,00
19	20	./dados/dados_carro\Carro-103.html	Chevrolet Onix 1.0 Turbo LT 2020	2020 / 2020	0.0	Branco	manual	5.0	59.900,00
20	21	./dados/dados_carro\Carro-1030.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2016	2016 / 2016	21.978	Cinza	manual	3.0	53.000,00
21	22	./dados/dados_carro\Carro-1031.html	Fiat Strada Working 1.4 (Flex) 2015	2015 / 2015	88.0	Vermelho	manual	2.0	33.800,00
22	24	./dados/dados_carro\Carro-1033.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2015	2015 / 2015	100.0	Branco	manual	3.0	43.000,00
23	25	./dados/dados_carro\Carro-1034.html	Fiat Strada Working 1.4 (Flex) (Cabine Dupla) 2015	2014 / 2015	91.962	Branco	manual	3.0	44.900,00
24	26	./dados/dados_carro\Carro-1036.html	Fiat Strada Working 1.4 (Flex) 2014	2013 / 2014	140.0	Prata	manual	2.0	29.900,00
25	28	./dados/dados_carro\Carro-1039.html	Fiat Strada Working 1.4 (Flex) 2013	2013 / 2013	187.52	Marrom	manual		28.000,00
26	29	./dados/dados_carro\Carro-104.html	Chevrolet Onix 1.0 Turbo AT (Aut) 2020	2020 / 2020	0.0	Branco	automático	5.0	59.990,00
27	30	./dados/dados_carro\Carro-1040.html	Fiat Strada Hard Working 1.4 (Flex) (Cabine Simples) 2019	2018 / 2019	42.961999999999996	Prata	manual	2.0	46.900,00
