	nome	ano	km	cor	cambio	portas	preco	flex
0	Chevrolet Onix 1.0 LT 	2020	0.0	Laranja	manual	3.0	59890.0	1.0
1	Fiat Strada Hard Working 1.4 	2019	41.07	Branco	manual	2.0	45900.0	1.0
2	Fiat Strada Hard Working 1.4 	2019	48.654	Prata	manual	4.0	45900.0	1.0
3	Fiat Strada Hard Working 1.4 	2019	19.0	Prata	manual	2.0	45990.0	1.0
4	Fiat Strada Hard Working 1.4 	2019	24.715	Branco	manual	2.0	45990.0	1.0
5	Chevrolet Onix 1.0 Turbo Premier 	2020	0.0	Azul	automático		59900.0	0.0
6	Fiat Strada Hard Working 1.4 	2019	39.441	Prata	manual	2.0	46000.0	1.0
7	Fiat Strada Hard Working 1.4 	2019	18.86	Branco	manual	2.0	46300.0	1.0
8	Fiat Strada Hard Working 1.4 	2019	40.856	Prata	manual	2.0	46500.0	1.0
9	Fiat Strada Freedom 1.4 	2019	78.0	Vermelho	manual		46500.0	1.0
10	Fiat Strada Hard Working 1.4 	2019	25.15	Prata	manual	2.0	46600.0	1.0
11	Chevrolet Onix 1.0 Turbo AT 	2020	0.0	Prata	automático	5.0	59900.0	0.0
12	Fiat Strada Hard Working 1.4 	2018	49.0	Branco	manual	2.0	36999.0	1.0
13	Fiat Strada Working 1.4 	2018	76.569	Branco	manual	2.0	39940.0	1.0
14	Fiat Strada Hard Working 1.4 	2018	79.0	Branco	manual		43500.0	1.0
15	Fiat Strada Hard Working 1.4 	2018	64.0	Branco	manual	2.0	43000.0	1.0
16	Fiat Strada Hard Working 1.4 	2018	82.63	Branco	manual	3.0	51900.0	1.0
17	Fiat Strada Hard Working 1.4 	2018	23.047	Preto	manual		55900.0	1.0
18	Fiat Strada Working 1.4 	2016	51.408	Vermelho	manual	2.0	50000.0	1.0
19	Chevrolet Onix 1.0 Turbo LT 	2020	0.0	Branco	manual	5.0	59900.0	0.0
20	Fiat Strada Working 1.4 	2016	21.978	Cinza	manual	3.0	53000.0	1.0
21	Fiat Strada Working 1.4 	2015	88.0	Vermelho	manual	2.0	33800.0	1.0
22	Fiat Strada Working 1.4 	2015	100.0	Branco	manual	3.0	43000.0	1.0
23	Fiat Strada Working 1.4 	2015	91.962	Branco	manual	3.0	44900.0	1.0
24	Fiat Strada Working 1.4 	2014	140.0	Prata	manual	2.0	29900.0	1.0
25	Fiat Strada Working 1.4 	2013	187.52	Marrom	manual		28000.0	1.0
26	Chevrolet Onix 1.0 Turbo AT 	2020	0.0	Branco	automático	5.0	59990.0	0.0
27	Fiat Strada Hard Working 1.4 	2019	42.962	Prata	manual	2.0	46900.0	1.0
28	Fiat Strada Hard Working 1.4 	2019	18.0	Branco	manual	2.0	46990.0	1.0
29	Fiat Strada 1.4 Freedom 	2019	40.75	Prata	manual	2.0	47380.0	1.0
30	Chevrolet Onix 1.0 Turbo AT 	2020	0.0	Vermelho	automático	5.0	59990.0	0.0
31	Fiat Strada Hard Working 1.4 	2019	32.782	Prata	manual	2.0	47900.0	1.0
32	Fiat Strada Working 1.4 	2019	49.089	Prata	manual		47900.0	1.0
33	Fiat Strada Hard Working 1.4 	2019	18.435	Prata	manual	2.0	48180.0	1.0
34	Fiat Strada Hard Working 1.4 	2019	48.0	Branco	manual	2.0	48900.0	1.0
35	Fiat Strada Hard Working 1.4 	2019	35.0	Branco	manual	2.0	48900.0	1.0
36	Fiat Strada Hard Working 1.4 	2019	51.268	Branco	manual	2.0	48990.0	1.0
37	Fiat Strada Hard Working 1.4 	2019	14.985	Prata	manual	2.0	49800.0	1.0
